Names,Frequency,Years,Gender,Rank
NOAH,229,2022,M,1.0
JACK ,220,2021,M,2.0
OLIVIA ,210,2021,F,3.0
OLIVER ,208,2021,M,4.0
LIAM ,198,2021,M,5.0
OLIVIA ,192,2022,F,6.0
THEODORE ,191,2021,M,7.0
LIAM ,176,2022,M,8.0
WILLIAM ,174,2021,M,9.0
THEODORE ,173,2022,M,10.0
OLIVER ,172,2022,M,11.0
CHARLOTTE ,166,2021,F,12.0
AVA ,165,2021,F,13.0
EMMA ,164,2021,F,14.0
ETHAN ,162,2021,M,15.0
AMELIA ,161,2021,F,16.0
JACK ,159,2022,M,17.0
SOPHIA ,151,2022,F,18.0
EMMA ,149,2022,F,19.0
LEVI ,148,2021,M,20.0
BENJAMIN ,147,2021,M,21.0
HENRY ,147,2021,M,21.0
WILLIAM ,146,2022,M,23.0
JACKSON ,142,2021,M,24.0
BENJAMIN ,138,2022,M,25.0
JAMES ,138,2022,M,25.0
SOPHIA ,137,2021,F,27.0
HENRY ,136,2022,M,28.0
ISLA ,135,2021,F,29.0
LUCAS ,135,2022,M,29.0
AMELIA,133,2022,F,31.0
JAMES ,133,2021,M,31.0
LEO ,133,2021,M,31.0
ETHAN ,130,2022,M,34.0
LUCAS,126,2021,M,35.0
MAVERICK ,126,2021,M,35.0
HARPER ,125,2022,F,37.0
HUDSON ,122,2021,M,38.0
JACKSON ,121,2022,M,39.0
OWEN ,121,2021,M,39.0
ABIGAIL ,120,2021,F,41.0
CHLOE ,120,2021,F,41.0
JACOB ,120,2021,M,41.0
EVELYN ,119,2021,F,44.0
ASHER ,117,2021,M,45.0
CHARLOTTE ,117,2022,F,45.0
ADAM ,115,2021,M,47.0
AVA ,115,2022,F,47.0
LOGAN ,115,2021,M,47.0
LEO ,114,2022,M,50.0
LEVI,113,2022,M,51.0
WYATT ,113,2021,M,51.0
ARIA ,112,2021,F,53.0
HANNAH ,111,2021,F,54.0
HARPER ,110,2021,F,55.0
LINCOLN ,110,2021,M,55.0
