Names,Frequency,Years,Gender,Rank
MICHAEL,9444,1961,M,1.0
MICHAEL,9336,1962,M,2.0
MICHAEL,9136,1963,M,3.0
MICHAEL,8899,1964,M,4.0
MICHAEL,8770,1960,M,5.0
MICHAEL,8632,1965,M,6.0
MICHAEL,8588,1967,M,7.0
MICHAEL,8544,1969,M,8.0
MICHAEL,8454,1968,M,9.0
MICHAEL,8411,1970,M,10.0
DAVID,8353,1961,M,11.0
MICHAEL,8164,1966,M,12.0
MICHAEL,8093,1990,M,13.0
DAVID,8059,1962,M,14.0
DAVID,8033,1960,M,15.0
MICHAEL,7815,1988,M,16.0
MICHAEL,7783,1989,M,17.0
DAVID,7692,1963,M,18.0
DAVID,7495,1964,M,19.0
MICHAEL,7482,1984,M,20.0
MICHAEL,7456,1991,M,21.0
MICHAEL,7448,1987,M,22.0
MICHAEL,7424,1983,M,23.0
MICHAEL,7278,1986,M,24.0
MICHAEL,7261,1985,M,25.0
MICHAEL,7221,1981,M,26.0
JOHN,7195,1964,M,27.0
MICHAEL,7155,1982,M,28.0
ROBERT,7132,1963,M,29.0
ROBERT,7108,1964,M,30.0
ROBERT,7054,1961,M,31.0
ROBERT,7031,1962,M,32.0
MICHAEL,7006,1971,M,33.0
JOHN,6978,1963,M,34.0
MICHAEL,6905,1980,M,35.0
DAVID,6852,1967,M,36.0
JESSICA,6849,1991,F,37.0
DAVID,6816,1965,M,38.0
ROBERT,6798,1960,M,39.0
JESSICA,6795,1987,F,40.0
CHRISTOPHER,6774,1985,M,41.0
JOHN,6751,1961,M,42.0
DAVID,6716,1966,M,43.0
JOHN,6612,1962,M,44.0
MICHAEL,6589,1979,M,45.0
CHRISTOPHER,6564,1987,M,46.0
MICHAEL,6546,1978,M,47.0
CHRISTOPHER,6537,1990,M,48.0
CHRISTOPHER,6536,1984,M,49.0
JESSICA,6532,1990,F,50.0
CHRISTOPHER,6504,1988,M,51.0
CHRISTOPHER,6503,1986,M,52.0
JESSICA,6493,1988,F,53.0
MICHAEL,6488,1992,M,54.0
MICHAEL,6476,1972,M,55.0
DAVID,6457,1969,M,56.0
JESSICA,6431,1989,F,57.0
CHRISTOPHER,6417,1989,M,58.0
DAVID,6405,1968,M,59.0
MICHAEL,6387,1977,M,60.0
CHRISTOPHER,6374,1983,M,61.0
ROBERT,6352,1965,M,62.0
JOHN,6308,1960,M,63.0
MICHAEL,6278,1975,M,64.0
JESSICA,6268,1992,F,65.0
DAVID,6254,1970,M,66.0
JOHN,6244,1965,M,67.0
MICHAEL,6196,1976,M,68.0
MICHAEL,6159,1974,M,69.0
CHRISTOPHER,6095,1982,M,70.0
JENNIFER*,6063,1972,F,71.0
JAMES,6055,1961,M,72.0
ROBERT,6051,1969,M,73.0
ROBERT,5973,1966,M,74.0
MICHAEL,5960,1973,M,75.0
JAMES,5946,1964,M,76.0
JESSICA,5941,1986,F,77.0
ROBERT,5909,1968,M,78.0
JAMES,5900,1960,M,79.0
JENNIFER,5865,1983,F,80.0
JAMES,5863,1962,M,81.0
JAMES,5793,1963,M,82.0
JENNIFER,5793,1982,F,82.0
DANIEL,5692,1990,M,84.0
MICHAEL,5692,1993,M,84.0
CHRISTOPHER,5672,1991,M,86.0
JENNIFER*,5631,1974,F,87.0
JENNIFER*,5628,1973,F,88.0
JOHN,5619,1966,M,89.0
JENNIFER,5618,1981,F,90.0
JENNIFER,5607,1980,F,91.0
ROBERT,5607,1970,M,91.0
ROBERT,5569,1967,M,93.0
JENNIFER*,5564,1976,F,94.0
JAMES,5558,1965,M,95.0
JENNIFER*,5553,1977,F,96.0
JENNIFER,5534,1984,F,97.0
DANIEL,5511,1989,M,98.0
JESSICA,5509,1993,F,99.0
JESSICA,5508,1985,F,100.0
JOHN,5474,1967,M,101.0
JENNIFER*,5468,1971,F,102.0
JOHN,5465,1968,M,103.0
JENNIFER,5463,1979,F,104.0
DANIEL,5443,1985,M,105.0
DANIEL,5412,1991,M,106.0
DANIEL,5400,1987,M,107.0
DANIEL,5398,1986,M,108.0
DANIEL,5397,1988,M,109.0
MARK,5389,1960,M,110.0
MARK,5339,1961,M,111.0
DAVID,5312,1987,M,112.0
JENNIFER*,5311,1975,F,113.0
DANIEL,5303,1992,M,114.0
DAVID,5290,1989,M,115.0
JENNIFER,5288,1978,F,116.0
DAVID,5257,1990,M,117.0
DAVID,5253,1986,M,118.0
JAMES,5251,1966,M,119.0
JESSICA,5241,1994,F,120.0
DAVID,5240,1985,M,121.0
CHRISTOPHER,5226,1981,M,122.0
DANIEL,5190,1993,M,123.0
JOHN,5167,1969,M,124.0
DAVID,5160,1988,M,125.0
DAVID,5114,1971,M,126.0
DAVID,5112,1982,M,127.0
CHRISTOPHER,5102,1992,M,128.0
DAVID,5100,1984,M,129.0
ASHLEY,5045,1987,F,130.0
DANIEL,5044,1994,M,131.0
DAVID,5042,1980,M,132.0
JOHN,5022,1970,M,133.0
DANIEL,5020,1984,M,134.0
JESSICA,4999,1984,F,135.0
MICHAEL,4998,1994,M,136.0
JOSE,4986,1991,M,137.0
JOSE,4980,1992,M,138.0
DAVID,4950,1983,M,139.0
JENNIFER,4946,1985,F,140.0
DANIEL,4936,1995,M,141.0
JOSE,4924,1993,M,142.0
MARK,4911,1962,M,143.0
JOSE,4903,1990,M,144.0
DAVID,4901,1981,M,145.0
