Names,Frequency,Years,Gender,Rank
JOHN,698,1946,M,1.0
JOHN,635,1949,M,2.0
JOHN,633,1947,M,3.0
MARY,628,1925,F,4.0
MARY,626,1921,F,5.0
JOHN,597,1945,M,6.0
JOHN,596,1944,M,7.0
MARY,594,1922,F,8.0
JOHN,586,1942,M,9.0
JOHN,579,1951,M,10.0
JOHN,578,1948,M,11.0
JOHN,578,1954,M,11.0
MARY,569,1947,F,13.0
MARY,563,1924,F,14.0
MARY,562,1932,F,15.0
MARY,556,1923,F,16.0
MARY,554,1946,F,17.0
JOHN,540,1950,M,18.0
JOHN,537,1953,M,19.0
JOHN,536,1943,M,20.0
MARY,535,1944,F,21.0
MARY,529,1952,F,22.0
JOHN,526,1952,M,23.0
MARY,525,1931,F,24.0
MARY,522,1927,F,25.0
MARY,518,1943,F,26.0
JOHN,517,1962,M,27.0
MARY,517,1930,F,27.0
MARY,516,1948,F,29.0
MARY,513,1949,F,30.0
JOHN,511,1940,M,31.0
MARY,511,1928,F,31.0
MARY,510,1933,F,33.0
JOHN,509,1959,M,34.0
MARY,508,1939,F,35.0
MARY,506,1936,F,36.0
MARY,505,1940,F,37.0
JOHN,501,1925,M,38.0
MARY,501,1926,F,38.0
MARY,501,1937,F,38.0
JOHN,499,1955,M,41.0
LINDA,498,1948,F,42.0
MARY,498,1938,F,42.0
MARY,496,1934,F,44.0
MARY,496,1942,F,44.0
JOHN,493,1930,M,46.0
MARY,492,1954,F,47.0
JOHN,490,1921,M,48.0
MARY,490,1941,F,48.0
MARY,485,1935,F,50.0
JOHN,484,1957,M,51.0
JOHN,483,1936,M,52.0
JOHN,483,1938,M,52.0
DAVID,478,1955,M,54.0
JOHN,478,1941,M,54.0
JOHN,478,1956,M,54.0
JOHN,478,1958,M,54.0
MARY,474,1929,F,58.0
MARY,473,1945,F,59.0
DAVID,471,1962,M,60.0
JOHN,471,1964,M,60.0
JOHN,470,1961,M,62.0
JOHN,467,1963,M,63.0
LINDA,466,1947,F,64.0
MARY,464,1951,F,65.0
DAVID,461,1956,M,66.0
MARY,461,1950,F,66.0
MARY,460,1953,F,68.0
DAVID,459,1947,M,69.0
JOHN,456,1922,M,70.0
JOHN,454,1960,M,71.0
JOHN,451,1920,M,72.0
JOHN,450,1939,M,73.0
MARY,448,1955,F,74.0
DAVID,447,1948,M,75.0
JOHN,443,1935,M,76.0
JOHN,438,1931,M,77.0
JOHN,435,1924,M,78.0
JOHN,435,1937,M,78.0
LINDA,434,1949,F,80.0
